site_id,model_id,reference_datetime,datetime,variable,crps,horizon
BARR,XGBoost,2024-01-01,2024-01-03,nee,0.12481677112395598,2
BARR,XGBoost,2024-01-01,2024-01-04,nee,0.029324218782776815,3
BARR,XGBoost,2024-01-01,2024-01-05,nee,0.05784147930351215,4
BARR,XGBoost,2024-01-01,2024-01-06,nee,0.033693462002787784,5
BARR,XGBoost,2024-01-01,2024-01-07,nee,0.053511682212065294,6
BARR,XGBoost,2024-01-01,2024-01-08,nee,0.043371508693338945,7
BARR,XGBoost,2024-01-01,2024-01-12,nee,0.031718199840809876,11
BARR,XGBoost,2024-01-01,2024-01-14,nee,0.08903465354057198,13
BARR,XGBoost,2024-01-01,2024-01-15,nee,0.05839338819652268,14
BARR,XGBoost,2024-01-02,2024-01-03,nee,0.16897234915323325,1
BARR,XGBoost,2024-01-02,2024-01-04,nee,0.05034513212466239,2
BARR,XGBoost,2024-01-02,2024-01-05,nee,0.029180097018733076,3
BARR,XGBoost,2024-01-02,2024-01-06,nee,0.041546621631886584,4
BARR,XGBoost,2024-01-02,2024-01-07,nee,0.048803265218044053,5
BARR,XGBoost,2024-01-02,2024-01-08,nee,0.059054434957442066,6
BARR,XGBoost,2024-01-02,2024-01-12,nee,0.032170170808943875,10
BARR,XGBoost,2024-01-02,2024-01-14,nee,0.09019644778540015,12
BARR,XGBoost,2024-01-02,2024-01-15,nee,0.06854994148064475,13
BARR,XGBoost,2024-01-03,2024-01-03,nee,0.13104498005163812,0
BARR,XGBoost,2024-01-03,2024-01-04,nee,0.03703955656264919,1
BARR,XGBoost,2024-01-03,2024-01-05,nee,0.053422644502187235,2
BARR,XGBoost,2024-01-03,2024-01-06,nee,0.02908897939823112,3
BARR,XGBoost,2024-01-03,2024-01-07,nee,0.06624074503101744,4
BARR,XGBoost,2024-01-03,2024-01-08,nee,0.05378867800745106,5
BARR,XGBoost,2024-01-03,2024-01-12,nee,0.03245408686004425,9
BARR,XGBoost,2024-01-03,2024-01-14,nee,0.0950228267534903,11
BARR,XGBoost,2024-01-03,2024-01-15,nee,0.05500380985129082,12
BARR,XGBoost,2024-01-04,2024-01-04,nee,0.05904983418642311,0
BARR,XGBoost,2024-01-04,2024-01-05,nee,0.04289000419279821,1
BARR,XGBoost,2024-01-04,2024-01-06,nee,0.0492208467743281,2
