site_id,model_id,crps
ABBY,XGBoost,1.41861122310592
ABBY,climatology,1.650158951495765
ABBY,persistenceRW,3.4761338165925113
BARR,XGBoost,0.2528442556601441
BARR,climatology,0.2139552894491817
BARR,persistenceRW,0.6537325516896146
BART,XGBoost,1.0641907566698277
BART,climatology,1.0765084645902137
BART,persistenceRW,3.134283880929416
BLAN,XGBoost,1.0542601191080705
BLAN,climatology,1.1395044257224918
BLAN,persistenceRW,3.8612329035245074
BONA,XGBoost,0.45108868071370545
BONA,climatology,0.4883191025980256
BONA,persistenceRW,1.1208600902301558
CLBJ,XGBoost,0.9797265244244086
CLBJ,climatology,1.0550456848999714
CLBJ,persistenceRW,2.850579690550917
CPER,XGBoost,0.3651609687989068
CPER,climatology,0.42194378155612494
CPER,persistenceRW,1.0196102804748604
DCFS,XGBoost,0.6745789225212266
DCFS,climatology,0.6643276914155517
DCFS,persistenceRW,1.9518683493948898
DEJU,XGBoost,0.34119489035806244
DEJU,climatology,0.38417271392979996
DEJU,persistenceRW,1.1345860753836525
DELA,XGBoost,0.9245979303178616
DELA,climatology,1.0074130164497714
DELA,persistenceRW,3.4314473284644427
DSNY,XGBoost,0.7035891988693749
DSNY,climatology,0.8841324883667411
DSNY,persistenceRW,2.166442185552293
GRSM,XGBoost,1.170470822233431
GRSM,climatology,1.2001718559395451
GRSM,persistenceRW,3.8174447082993215
GUAN,XGBoost,0.8107037318697973
GUAN,climatology,1.1584328840756808
GUAN,persistenceRW,1.920933523344968
HARV,XGBoost,0.8333256227697577
HARV,climatology,0.8667452842545326
HARV,persistenceRW,3.4481874441383455
HEAL,XGBoost,0.22889492645709097
HEAL,climatology,0.2433971347282025
HEAL,persistenceRW,0.7923219035392225
JERC,XGBoost,0.8963218355238489
JERC,climatology,1.137657872579856
JERC,persistenceRW,2.8193000597649602
JORN,XGBoost,0.15189573082229618
JORN,climatology,0.19176046603945401
JORN,persistenceRW,0.46963510584515805
KONA,XGBoost,1.382031972930562
KONA,climatology,1.6433529001744396
KONA,persistenceRW,2.810834837622705
KONZ,XGBoost,1.1710085846931435
KONZ,climatology,1.07162497714328
KONZ,persistenceRW,2.8919182826412118
LAJA,XGBoost,2.182084908315556
LAJA,climatology,2.1795547739668577
LAJA,persistenceRW,4.60689486344965
LENO,XGBoost,1.1574838183156666
LENO,climatology,1.396096048138397
LENO,persistenceRW,4.376874871543662
MLBS,XGBoost,0.9415404006948926
MLBS,climatology,0.9839498191267011
MLBS,persistenceRW,2.7057172086723216
MOAB,XGBoost,0.23073458699808083
MOAB,climatology,0.256936625945199
MOAB,persistenceRW,0.5084499800860969
NIWO,XGBoost,0.3447336088915667
NIWO,climatology,0.39728336145327425
NIWO,persistenceRW,1.115861289488433
NOGP,XGBoost,0.5424561763395689
NOGP,climatology,0.5466063262582085
NOGP,persistenceRW,1.702075456776926
OAES,XGBoost,0.4671427073791012
OAES,climatology,0.5452820541791351
OAES,persistenceRW,1.7143591909476612
ONAQ,XGBoost,0.263429170806336
ONAQ,climatology,0.2823086998086482
ONAQ,persistenceRW,0.7972502818347564
ORNL,XGBoost,1.1275517337215275
ORNL,climatology,1.2694853772989338
ORNL,persistenceRW,3.6703108689699717
OSBS,XGBoost,0.6883455378872029
OSBS,climatology,0.9090117639132071
OSBS,persistenceRW,2.0377480663646286
PUUM,XGBoost,0.7698330709627655
PUUM,climatology,1.041042563537722
PUUM,persistenceRW,2.414507492310146
RMNP,XGBoost,0.471086060687338
RMNP,climatology,0.49181236200647116
RMNP,persistenceRW,1.5332339620660502
SCBI,XGBoost,1.1082154915949827
SCBI,climatology,1.3900076543041147
SCBI,persistenceRW,3.7532242849869135
SERC,XGBoost,0.8554066731448788
SERC,climatology,0.985736248915978
SERC,persistenceRW,3.0835365541774804
SJER,XGBoost,0.7076855417163677
SJER,climatology,0.8048214106455885
SJER,persistenceRW,2.0927209822270574
SOAP,XGBoost,0.7768064391168619
SOAP,climatology,0.7359104554436645
SOAP,persistenceRW,1.2470323328463027
SRER,XGBoost,0.2943759400566371
SRER,climatology,0.3255846015547927
SRER,persistenceRW,0.6425904230217627
STEI,XGBoost,0.70928742734067
STEI,climatology,0.7433518401970701
STEI,persistenceRW,2.9053259786408225
STER,XGBoost,0.9724104563290412
STER,climatology,1.07777544331018
STER,persistenceRW,1.8012706110748327
TALL,XGBoost,0.7683819822933655
TALL,climatology,0.9004243219694358
TALL,persistenceRW,3.057618731398506
TEAK,XGBoost,0.6516388145985388
TEAK,climatology,0.6893992709645481
TEAK,persistenceRW,1.5590720376014335
TOOL,XGBoost,0.18135802443392485
TOOL,climatology,0.2118949358262515
TOOL,persistenceRW,0.6891412383202737
TREE,XGBoost,0.5581249436640068
TREE,climatology,0.6440726440541384
TREE,persistenceRW,2.565659463183065
UKFS,XGBoost,1.1087526260802714
UKFS,climatology,1.0795465783880283
UKFS,persistenceRW,2.9956346582156077
UNDE,XGBoost,0.64406528416302
UNDE,climatology,0.6866545961608963
UNDE,persistenceRW,2.603357506005551
WOOD,XGBoost,0.8120534700357354
WOOD,climatology,0.8330532202199502
WOOD,persistenceRW,1.6909301316214136
WREF,XGBoost,1.1755172021614102
WREF,climatology,1.3264527607467302
WREF,persistenceRW,2.9818613816893316
YELL,XGBoost,0.3415242980914657
YELL,climatology,0.3379279148017198
YELL,persistenceRW,1.2593967542082891
